"s"	"Torque"
-0.06000000	39.463258
-0.05900400	39.450124
-0.05800800	39.456691
-0.05701200	39.463258
-0.05601600	39.443556
-0.05502000	39.463258
-0.05402400	39.443556
-0.05302800	39.456691
-0.05203200	39.469826
-0.05103600	39.459975
-0.05004000	39.436989
-0.04904400	39.446840
-0.04804800	39.453407
-0.04705200	39.453407
-0.04605600	39.473109
-0.04506000	39.466542
-0.04406400	39.443556
-0.04306800	39.440273
-0.04207200	39.436989
-0.04107600	39.443556
-0.04008000	39.433705
-0.03908400	39.440273
-0.03808800	39.450124
-0.03709200	39.440273
-0.03609600	39.436989
-0.03510000	39.407436
-0.03410400	39.404153
-0.03310800	39.430422
-0.03211200	39.391018
-0.03111600	39.433705
-0.03012000	39.430422
-0.02912400	39.417287
-0.02812800	39.417287
-0.02713200	39.404153
-0.02613600	39.407436
-0.02514000	39.387734
-0.02414400	39.384451
-0.02314800	39.394302
-0.02215200	39.354898
-0.02115600	39.368033
-0.02016000	39.345047
-0.01916400	39.325345
-0.01816800	39.322061
-0.01717200	39.295792
-0.01617600	39.302360
-0.01518000	39.302360
-0.01418400	39.256389
-0.01318800	39.236687
-0.01219200	39.259672
-0.01119600	39.220268
-0.01020000	39.180865
-0.00920400	39.210418
-0.00820800	39.187432
-0.00721200	39.154596
-0.00621600	39.164447
-0.00522000	39.111908
-0.00422400	39.082355
-0.00322800	39.088923
-0.00223200	39.033101
-0.00123600	39.036384
-0.00024000	39.029817
0.00075600	39.023250
0.00175200	38.973995
0.00274800	38.957577
0.00374400	38.970711
0.00474000	38.921457
0.00573600	38.937875
0.00673200	38.924740
0.00772800	38.885337
0.00872400	38.901755
0.00972000	38.855784
0.01071600	38.845933
0.01171200	38.822947
0.01270800	38.803245
0.01370400	38.783544
0.01470000	38.770409
0.01569600	38.734289
0.01669200	38.691602
0.01768800	38.698169
0.01868400	38.701452
0.01968000	38.635780
0.02067600	38.665332
0.02167200	38.665332
0.02266800	38.691602
0.02366400	38.685034
0.02466000	38.642347
0.02565600	38.579958
0.02665200	38.547121
0.02764800	38.488016
0.02864400	38.432194
0.02964000	38.422343
0.03063600	38.392790
0.03163200	38.336968
0.03262800	38.297564
0.03362400	38.254877
0.03462000	38.235175
0.03561600	38.195771
0.03661200	38.139949
0.03760800	38.143233
0.03860400	38.074276
